 x, y, z,signal
1,0,6.92,99
1,0,6.74,99
1,0,6.63,98
1,0,6.57,98
1,0,6.49,98
1,0,6.43,98
1,0,6.36,98
1,0,6.23,98
1,0,5.95,98
1,0,5.72,97
1,0,5.58,96
1,0,5.5,96
1,0,5.41,97
1,0,5.2,97
1,0,5.15,97
1,0,4.86,96
1,0,4.73,96
1,0,4.54,96
1,0,4.16,96
1,0,3.98,96
1,0,3.97,96
1,0,3.43,95
1,0,3.21,94
1,0,3.01,94
1,0,2.86,93
1,0,2.78,93
1,0,2.69,93
1,0,2.47,93
1,0,2.29,93
1,0,1.88,92
1,0,1.71,92
1,0,1.58,91
1,0,1.5,91
1,0,1.39,91
1,0,1.14,91
1,0,1,91
1,0,0.66,91
1,0,0.58,91
1,0,0.14,89
1.99,0,0.17,88
1.99,0,0.46,88
1.99,0,0.52,88
1.99,0,0.7,88
1.99,0,0.75,88
1.99,0,0.96,88
1.99,0,1.28,88
1.99,0,1.35,88
1.99,0,1.48,88
1.99,0,1.65,88
1.99,0,2.17,88
1.99,0,2.28,88
1.99,0,2.52,88
1.99,0,2.77,88
1.99,0,2.78,88
1.99,0,2.84,88
1.99,0,2.87,88
1.99,0,2.97,88
1.99,0,3,88
1.99,0,3.26,88
1.99,0,3.39,88
1.99,0,3.42,88
1.99,0,3.92,89
1.99,0,4.07,89
1.99,0,4.17,89
1.99,0,4.68,90
1.99,0,4.98,91
1.99,0,6.05,92
1.99,0,6.13,92
1.99,0,6.19,92
1.99,0,6.49,92
1.99,0,6.7,93
1.99,0,7.07,93
1.99,0,7.49,93
1.99,0,7.57,93
1.99,0,7.64,93
1.99,0,8.01,93
1.99,0,8.19,93
1.99,0,8.35,94
1.99,0,8.56,94
1.99,0,8.71,95
1.99,0,9.27,96
1.99,0,9.32,96
1.99,0,9.67,96
1.99,0,10.18,97
1.99,0,10.66,98
1.99,0,10.97,98
1.99,0,11.44,99
1.99,0,11.68,99
1.99,0,12.1,100
1.99,0,12.48,100
1.99,0,12.52,100
1.99,0,12.59,101
1.99,0,12.8,101
1.99,0,12.86,102
1.99,0,13.01,102
1.99,0,13.13,102
1.99,0,13.14,102
1.99,0,13.18,102
1.99,0,13.21,102
1.99,0,13.46,102
1.99,0,13.53,102
1.99,0,13.57,103
1.99,0,13.83,103
1.99,0,14.09,105
1.99,0,14.17,105
1.99,0,14.19,105
1.99,0,14.47,105
1.99,0,14.52,105
1.99,0,14.69,107
1.99,0,15,108
1.99,0,14.94,113
1.99,0,14.75,113
1.99,0,14.26,113
1.99,0,14.07,113
1.99,0,13.9,113
1.99,0,13.11,112
1.99,0,12.9,111
1.99,0,12.83,111
1.99,0,12.75,111
1.99,0,12.56,109
1.99,0,12.47,108
1.99,0,12.4,108
1.99,0,12.09,107
1.99,0,11.82,107
1.99,0,11.48,106
1.99,0,11.02,105
1.99,0,10.82,105
1.99,0,10.61,104
1.99,0,10.35,104
1.99,0,10.3,104
1.99,0,10.21,104
1.99,0,10.1,103
1.99,0,10.01,103
1.99,0,9.92,102
1.99,0,9.67,102
1.99,0,9.56,102
1.99,0,9.35,101
1.99,0,9.3,101
1.99,0,9.25,101
1.99,0,9.22,101
1.99,0,9.19,101
1.99,0,9.15,101
1.99,0,8.63,101
1.99,0,8.55,101
1.99,0,8.19,101
1.99,0,8.02,101
1.99,0,7.91,100
1.99,0,7.78,100
1.99,0,7.48,100
1.99,0,7.26,102
1.99,0,7.07,102
1.99,0,7,102
1.99,0,6.72,101
1.99,0,6.2,101
1.99,0,5.93,100
1.99,0,5.78,99
1.99,0,5.73,99
1.99,0,5.4,99
1.99,0,5.36,99
1.99,0,5.26,100
1.99,0,4.82,99
1.99,0,4.78,99
1.99,0,4.57,98
1.99,0,4.5,98
1.99,0,4.34,98
1.99,0,4.28,98
1.99,0,4.18,98
1.99,0,4.04,98
1.99,0,3.87,98
1.99,0,3.7,98
1.99,0,3.5,98
1.99,0,3.34,98
1.99,0,3.03,98
1.99,0,2.98,98
1.99,0,2.84,98
1.99,0,2.31,98
1.99,0,2.2,99
1.99,0,1.54,99
1.99,0,1.43,97
1.99,0,1.18,97
1.99,0,1.01,97
1.99,0,0.95,97
1.99,0,0.87,97
1.99,0,0.83,97
1.99,0,0.61,97
1.99,0,0.35,92
1.99,0,0.28,92
1.99,0,0,90
3,0,0.03,88
3,0,0.29,88
3,0,0.74,88
3,0,0.88,88
3,0,0.92,88
3,0,1.02,88
3,0,1.09,88
3,0,1.25,88
3,0,1.55,88
3,0,1.73,88
3,0,1.77,88
3,0,1.95,88
3,0,2.15,88
3,0,2.24,88
3,0,2.5,88
3,0,3.59,88
3,0,4.13,90
3,0,4.5,91
3,0,4.82,91
3,0,5.05,91
3,0,5.2,92
3,0,5.38,92
3,0,5.55,92
3,0,5.88,92
3,0,6.01,92
3,0,6.05,93
3,0,6.49,93
3,0,6.75,93
3,0,6.96,94
3,0,7.19,94
3,0,7.26,94
3,0,7.86,94
3,0,7.92,94
3,0,8.03,94
3,0,8.28,95
3,0,8.41,95
3,0,8.88,95
3,0,8.98,95
3,0,9.35,95
3,0,9.64,96
3,0,9.77,97
3,0,9.94,97
3,0,10.66,98
3,0,10.72,98
3,0,10.78,99
3,0,11.31,100
3,0,11.5,101
3,0,11.63,101
3,0,11.78,101
3,0,12.1,101
3,0,12.23,102
